commodity,sheet,line_item,n,y0,y1
NI,ChemicalsbyPlant,TOTAL NORTH AMERICA,7,2022,2028
NI,ChemicalsbyPlant,TOTAL OCEANIA,7,2022,2028
NI,ChemicalsbyPlant,TOTAL WORLD,7,2022,2028
NI,ChemicalsbyPlant,Tengyuan,4,2025,2028
NI,ChemicalsbyPlant,Terrafame,7,2022,2028
NI,ChemicalsbyPlant,Thakadu,7,2022,2028
NI,ChemicalsbyPlant,Torecom,6,2023,2028
NI,ChemicalsbyPlant,Total Australia,7,2022,2028
NI,ChemicalsbyPlant,Total Austria,7,2022,2028
NI,ChemicalsbyPlant,Total Belgium,7,2022,2028
NI,ChemicalsbyPlant,Total China,7,2022,2028
NI,ChemicalsbyPlant,Total Cyprus,7,2022,2028
NI,ChemicalsbyPlant,Total Finland,7,2022,2028
NI,ChemicalsbyPlant,Total Germany,7,2022,2028
NI,ChemicalsbyPlant,Total India,7,2022,2028
NI,ChemicalsbyPlant,Total Indonesia,7,2022,2028
NI,ChemicalsbyPlant,Total Japan,7,2022,2028
NI,ChemicalsbyPlant,Total South Africa,7,2022,2028
NI,ChemicalsbyPlant,Total South Korea,7,2022,2028
NI,ChemicalsbyPlant,Total Spain,7,2022,2028
NI,ChemicalsbyPlant,Total Taiwan,7,2022,2028
NI,ChemicalsbyPlant,Total United States,7,2022,2028
NI,ChemicalsbyPlant,USA Other,7,2022,2028
NI,ChemicalsbyPlant,Ulsan,3,2026,2028
NI,ChemicalsbyPlant,Umicore,7,2022,2028
NI,ChemicalsbyPlant,Univertical,7,2022,2028
NI,ChemicalsbyPlant,Xinxiang Jien,7,2022,2028
NI,ChemicalsbyPlant,Yantai Kaishi Chemical,3,2022,2024
NI,ChemicalsbyPlant,Zenith,7,2022,2028
NI,ChinaBalance,% change,56,1985,2040
NI,ChinaBalance,Actual/forecast mine output,57,1984,2040
NI,ChinaBalance,Actual/forecast primary refined output,57,1984,2040
NI,ChinaBalance,Actual/forecast smelter output,45,1996,2040
NI,ChinaBalance,Actual/forecast total refined output,57,1984,2040
NI,ChinaBalance,Additional adjustment (D),20,2021,2040
NI,ChinaBalance,Additional adjustment (F),9,2032,2040
NI,ChinaBalance,Balance,57,1984,2040
NI,ChinaBalance,Base case mine output,57,1984,2040
NI,ChinaBalance,Base case refined output,57,1984,2040
NI,ChinaBalance,Base case smelter output,45,1996,2040
NI,ChinaBalance,Consumption,57,1984,2040
NI,ChinaBalance,Exports to RoW,55,1986,2040
NI,ChinaBalance,Exports to Russia,53,1988,2040
NI,ChinaBalance,Forecast disruption allowance,31,2010,2040
NI,ChinaBalance,Forecast mine supply adjustment (A+B),20,2021,2040
NI,ChinaBalance,Forecast primary supply adjustment (E+F),20,2021,2040
NI,ChinaBalance,Forecast smelter supply adjustment (C+D),20,2021,2040
NI,ChinaBalance,Highly probable projects,31,2010,2040
NI,ChinaBalance,Imports from Indonesia,28,2013,2040
NI,ChinaBalance,Imports from RoW,53,1988,2040
NI,ChinaBalance,Imports from Russia,45,1996,2040
NI,ChinaBalance,Mine Production/Capability,57,1984,2040
NI,ChinaBalance,Net Trade,55,1986,2040
NI,ChinaBalance,Probable mine projects (A),20,2021,2040
NI,ChinaBalance,Probable refinery projects (E),20,2021,2040
NI,ChinaBalance,Probable smelter projects (C),20,2021,2040
NI,ChinaBalance,Refined Production/Capability,57,1984,2040
NI,ChinaBalance,Refined capacity,50,1991,2040
NI,ChinaBalance,Refinery capacity utilisation,50,1991,2040
NI,ChinaBalance,SHFE stock change,12,2015,2026
NI,ChinaBalance,Secondary refined output from EV batteries,20,2021,2040
NI,ChinaBalance,Smelter Production/Capability,45,1996,2040
NI,ChinaBalance,Smelter capacity,45,1996,2040
NI,ChinaBalance,Smelter capacity utilisation,45,1996,2040
NI,ChinaBalance,Sulphide,57,1984,2040
NI,ChinaBalance,Total Exports,55,1986,2040
NI,ChinaBalance,Total Imports,53,1988,2040
NI,ChinaBalance,Total Nickel Supply,57,1984,2040
NI,ChinaBalance,of which:   Laterite,57,1984,2040
NI,ChinaBalance,of which: FeNi / NPI,57,1984,2040
NI,ChinaBalance,of which: from Secondary,20,2021,2040
NI,Consumption,Africa:,7,2022,2028
NI,Consumption,Asia:,7,2022,2028
NI,Consumption,Australia,7,2022,2028
NI,Consumption,Austria,7,2022,2028
NI,Consumption,Belgium,7,2022,2028
NI,Consumption,Brazil,7,2022,2028
NI,Consumption,Canada,7,2022,2028
NI,Consumption,Caribbean:,7,2022,2028
NI,Consumption,China,7,2022,2028
NI,Consumption,Cuba,7,2022,2028
NI,Consumption,Czech Republic,7,2022,2028
NI,Consumption,Europe:,7,2022,2028
NI,Consumption,Finland,7,2022,2028
NI,Consumption,France,7,2022,2028
NI,Consumption,Germany,7,2022,2028
NI,Consumption,Global:,7,2022,2028
NI,Consumption,India,7,2022,2028
NI,Consumption,Indonesia,7,2022,2028
NI,Consumption,Italy,7,2022,2028
NI,Consumption,Japan,7,2022,2028
NI,Consumption,Mexico,7,2022,2028
NI,Consumption,North America:,7,2022,2028
NI,Consumption,Oceania:,7,2022,2028
NI,Consumption,Other,7,2022,2028
NI,Consumption,Poland,7,2022,2028
NI,Consumption,Romania,7,2022,2028
NI,Consumption,Russia & Caspian:,7,2022,2028
NI,Consumption,Russian Federation,7,2022,2028
NI,Consumption,Slovenia,7,2022,2028
NI,Consumption,South Africa,7,2022,2028
NI,Consumption,South Korea,7,2022,2028
NI,Consumption,Spain,7,2022,2028
NI,Consumption,Sweden,7,2022,2028
NI,Consumption,Taiwan,7,2022,2028
NI,Consumption,Ukraine,7,2022,2028
NI,Consumption,United Kingdom,7,2022,2028
NI,Consumption,United States,7,2022,2028
NI,FeNibyPlant,Barro Alto,7,2022,2028
NI,FeNibyPlant,Ceria Indotama,7,2022,2028
NI,FeNibyPlant,Cerro Matoso,7,2022,2028
NI,FeNibyPlant,Codemin,7,2022,2028
NI,FeNibyPlant,Doniambo,7,2022,2028
NI,FeNibyPlant,Falcondo,7,2022,2028
NI,FeNibyPlant,FeNi Halmahera,2,2027,2028
NI,FeNibyPlant,Feni,7,2022,2028
NI,FeNibyPlant,Ferronikeli,7,2022,2028
NI,FeNibyPlant,Gwangyang,7,2022,2028
NI,FeNibyPlant,Hyuga,7,2022,2028
NI,FeNibyPlant,Koniambo,7,2022,2028
NI,FeNibyPlant,Larco,7,2022,2028
NI,FeNibyPlant,Nippon Yakin,7,2022,2028
NI,FeNibyPlant,Onca Puma,7,2022,2028
NI,FeNibyPlant,Pamco,7,2022,2028
NI,FeNibyPlant,Pobuzhsky,7,2022,2028
NI,FeNibyPlant,Pomalaa,7,2022,2028
NI,FeNibyPlant,Pronico,7,2022,2028
NI,FeNibyPlant,TOTAL ASIA,7,2022,2028
NI,FeNibyPlant,TOTAL EUROPE,7,2022,2028
NI,FeNibyPlant,TOTAL LATIN AMERICA AND THE CARIBBEAN,7,2022,2028
NI,FeNibyPlant,TOTAL OCEANIA,7,2022,2028
NI,FeNibyPlant,TOTAL WORLD,7,2022,2028
NI,FeNibyPlant,Tagaung Taung,4,2022,2025
NI,FeNibyPlant,Total Austria,7,2022,2028
NI,FeNibyPlant,Total Brazil,7,2022,2028
NI,FeNibyPlant,Total Colombia,7,2022,2028
NI,FeNibyPlant,Total Dominican Republic,7,2022,2028
NI,FeNibyPlant,Total Greece,7,2022,2028
NI,FeNibyPlant,Total Guatemala,7,2022,2028
NI,FeNibyPlant,Total Indonesia,7,2022,2028
NI,FeNibyPlant,Total Japan,7,2022,2028
NI,FeNibyPlant,Total Kosovo,7,2022,2028
NI,FeNibyPlant,Total Myanmar,7,2022,2028
NI,FeNibyPlant,Total New Caledonia,7,2022,2028
NI,FeNibyPlant,Total North Macedonia,7,2022,2028
NI,FeNibyPlant,Total South Korea,7,2022,2028
NI,FeNibyPlant,Total Ukraine,7,2022,2028
NI,FeNibyPlant,Treibacher,7,2022,2028
NI,GlobalBalance,% change,56,1985,2040
NI,GlobalBalance,- in days of Consumption,55,1986,2040
NI,GlobalBalance,- in days of consumption,7,2022,2028
NI,GlobalBalance,2026 $,7,2022,2028
NI,GlobalBalance,2026 US$/t,55,1986,2040
NI,GlobalBalance,2026 c/lb,55,1986,2040
NI,GlobalBalance,Actual/forecast mine output,64,1984,2040
NI,GlobalBalance,Actual/forecast primary refined output,63,1985,2040
NI,GlobalBalance,Actual/forecast smelter output,52,1996,2040
NI,GlobalBalance,Actual/forecast total refined output,63,1985,2040
NI,GlobalBalance,Additional adjustment,7,2022,2028
NI,GlobalBalance,Additional adjustment (B),20,2021,2040
NI,GlobalBalance,Additional adjustment (D),20,2021,2040
NI,GlobalBalance,Additional adjustment (F),18,2023,2040
NI,GlobalBalance,Balance,62,1986,2040
NI,GlobalBalance,Base case mine output,64,1984,2040
NI,GlobalBalance,Base case refined output,63,1985,2040
NI,GlobalBalance,Base case smelter output,52,1996,2040
NI,GlobalBalance,Consumption,62,1986,2040
NI,GlobalBalance,Current,7,2022,2028
NI,GlobalBalance,Current $/t,7,2022,2028
NI,GlobalBalance,Current US$/t,55,1986,2040
NI,GlobalBalance,DLA/ Jap. govt sales,7,2022,2028
NI,GlobalBalance,DLA/ Japan government sales,26,1984,2009
NI,GlobalBalance,Estimated Global stocks (implied),56,1985,2040
NI,GlobalBalance,Estimated stocks,7,2022,2028
NI,GlobalBalance,Forecast disruption allowance,27,2021,2040
NI,GlobalBalance,Forecast market adjustment,7,2022,2028
NI,GlobalBalance,Forecast mine supply adjustment (A+B),20,2021,2040
NI,GlobalBalance,Forecast primary supply adjustment (E+F),18,2023,2040
NI,GlobalBalance,Forecast smelter supply adjustment (C+D),20,2021,2040
NI,GlobalBalance,Highly probable projects,31,2010,2040
NI,GlobalBalance,LME Price     Current c/lb,55,1986,2040
NI,GlobalBalance,Mine Production/Capability,57,1984,2040
NI,GlobalBalance,Mine disruption allowance,57,1984,2040
NI,GlobalBalance,Mine production/capability,7,2022,2028
NI,GlobalBalance,Pricechart,55,1986,2040
NI,GlobalBalance,Primary Nickel Supplies,7,2022,2028
NI,GlobalBalance,Probable mine projects,7,2022,2028
NI,GlobalBalance,Probable mine projects (A),20,2021,2040
NI,GlobalBalance,Probable refinery projects,7,2022,2028
NI,GlobalBalance,Probable refinery projects (E),18,2023,2040
NI,GlobalBalance,Probable smelter projects,7,2022,2028
NI,GlobalBalance,Probable smelter projects (C),20,2021,2040
NI,GlobalBalance,Refined Production/Capability,56,1985,2040
NI,GlobalBalance,Refined capacity,50,1991,2040
NI,GlobalBalance,Refined production capability,7,2022,2028
NI,GlobalBalance,Refinery capacity utilisation,50,1991,2040
NI,GlobalBalance,Refinery disruption allowance,57,1984,2040
NI,GlobalBalance,Reported stocks,41,1986,2026
NI,GlobalBalance,Russian consignment stock,8,2002,2009
NI,GlobalBalance,Secondary refined output,7,2022,2028
NI,GlobalBalance,Secondary refined output from EV batteries,18,2023,2040
NI,GlobalBalance,Smelter Production/Capability,45,1996,2040
NI,GlobalBalance,Smelter capacity,45,1996,2040
NI,GlobalBalance,Smelter capacity utilisation,45,1996,2040
NI,GlobalBalance,Smelter disruption allowance,57,1984,2040
NI,GlobalBalance,Smelter production capability,7,2022,2028
NI,GlobalBalance,Sulphide,57,1984,2040
NI,GlobalBalance,Total Nickel Supply,56,1985,2040
NI,GlobalBalance,of which:   Laterite,57,1984,2040
NI,GlobalBalance,of which: FeNi / NPI,45,1996,2040
NI,GlobalBalance,of which: from Secondary,52,1996,2040
NI,Imbalance,- Negative market adjustment (G) (-),31,2010,2040
NI,Imbalance,- Unidentified new production (H) (+),31,2010,2040
NI,Imbalance,1/.,55,1986,2040
NI,Imbalance,2/.,31,2010,2040
NI,Imbalance,3/.,30,2011,2040
NI,Imbalance,4/.,55,1986,2040
NI,Imbalance,5/.,31,2010,2040
NI,Imbalance,6/.,18,2023,2040
NI,Imbalance,7/.,56,1985,2040
NI,Imbalance,8/.,56,1984,2040
NI,Imbalance,9/.,31,2010,2040
NI,Imbalance,Base case refined output (D=(A+B-C)),55,1986,2040
NI,Imbalance,Consumption (N),55,1986,2040
NI,Imbalance,DLA/ Japan government sales (L);,56,1984,2040
NI,Imbalance,"F as a % of consumption, N",31,2010,2040
NI,Imbalance,Implied Surplus/Deficit (O=M-N),55,1986,2040
NI,Imbalance,Primary nickel supply (M=(J+K+L),55,1986,2040
NI,Imbalance,Y-o-Y change,54,1987,2040
NI,MineProduction,Albania,7,2022,2028
NI,MineProduction,Australia,7,2022,2028
NI,MineProduction,Botswana,7,2022,2028
NI,MineProduction,Brazil,7,2022,2028
NI,MineProduction,Canada,7,2022,2028
NI,MineProduction,China,7,2022,2028
NI,MineProduction,Colombia,7,2022,2028
NI,MineProduction,Cote d`Ivoire,7,2022,2028
NI,MineProduction,Cuba,7,2022,2028
NI,MineProduction,Disruption allowance + probable projects,5,2024,2028
NI,MineProduction,Dominican Republic,7,2022,2028
NI,MineProduction,Finland,7,2022,2028
NI,MineProduction,Forecast mine production,7,2022,2028
NI,MineProduction,Greece,7,2022,2028
NI,MineProduction,Guatemala,7,2022,2028
NI,MineProduction,Indonesia,7,2022,2028
NI,MineProduction,Kazakhstan,7,2022,2028
NI,MineProduction,Kosovo,7,2022,2028
NI,MineProduction,Madagascar,7,2022,2028
NI,MineProduction,Myanmar,7,2022,2028
NI,MineProduction,New Caledonia,7,2022,2028
NI,MineProduction,North Macedonia,7,2022,2028
NI,MineProduction,Norway,7,2022,2028
NI,MineProduction,Papua New Guinea,7,2022,2028
NI,MineProduction,Philippines,7,2022,2028
NI,MineProduction,Russian Federation,7,2022,2028
NI,MineProduction,Solomon Islands,7,2022,2028
NI,MineProduction,South Africa,7,2022,2028
NI,MineProduction,Spain,7,2022,2028
NI,MineProduction,Total Africa,7,2022,2028
NI,MineProduction,Total Asia,7,2022,2028
NI,MineProduction,Total Europe,7,2022,2028
NI,MineProduction,Total Latin America & Caribbean,7,2022,2028
NI,MineProduction,Total North America,7,2022,2028
NI,MineProduction,Total Oceania,7,2022,2028
NI,MineProduction,Total Russia & Caspian,7,2022,2028
NI,MineProduction,Total World,7,2022,2028
NI,MineProduction,Turkey,7,2022,2028
NI,MineProduction,Ukraine,7,2022,2028
NI,MineProduction,United States,7,2022,2028
NI,MineProduction,Venezuela,7,2022,2028
NI,MineProduction,Vietnam,7,2022,2028
NI,MineProduction,Zambia,7,2022,2028
NI,MineProduction,Zimbabwe,7,2022,2028
NI,MinesbyPlant,Ambatovy,7,2022,2028
NI,MinesbyPlant,Amplats,7,2022,2028
NI,MinesbyPlant,Antam High Grade Ore - Garnierite,7,2022,2028
NI,MinesbyPlant,Antam Low Grade Ore,7,2022,2028
NI,MinesbyPlant,Avebury Restart,3,2022,2024
NI,MinesbyPlant,Bahodopi,3,2026,2028
NI,MinesbyPlant,Baishiquan,3,2026,2028
NI,MinesbyPlant,Baixintan,5,2024,2028
NI,MinesbyPlant,Barro Alto,7,2022,2028
NI,MinesbyPlant,Bonao,2,2022,2023
NI,MinesbyPlant,Cao Bang,7,2022,2028
NI,MinesbyPlant,Cerro Matoso - Montelibano,7,2022,2028
NI,MinesbyPlant,Chibaisong,7,2022,2028
NI,MinesbyPlant,Codemin (Niquelandia),1,2023,2023
NI,MinesbyPlant,Coral Bay (Rio Tuba),7,2022,2028
NI,MinesbyPlant,Daling,5,2022,2026
NI,MinesbyPlant,Eagle,7,2022,2028
NI,MinesbyPlant,Enterprise,6,2023,2028
NI,MinesbyPlant,FeNi Halmahera,2,2027,2028
NI,MinesbyPlant,Fenix,4,2022,2028
NI,MinesbyPlant,Flying Fox,3,2022,2024
NI,MinesbyPlant,Fraser Morgan,4,2022,2025
NI,MinesbyPlant,Fujia,7,2022,2028
NI,MinesbyPlant,Gordes,7,2022,2028
NI,MinesbyPlant,Goro,7,2022,2028
NI,MinesbyPlant,Guaxilan - Garnierite,4,2022,2025
NI,MinesbyPlant,Huangshandong,7,2022,2028
NI,MinesbyPlant,Huilong - Hami,7,2022,2028
NI,MinesbyPlant,Impala,7,2022,2028
NI,MinesbyPlant,Indept. & SLN Ore,7,2022,2028
NI,MinesbyPlant,Indept. & SLN Ore - Garnierite,7,2022,2028
NI,MinesbyPlant,Indonesian Ore,7,2022,2028
NI,MinesbyPlant,Jianchaling,2,2022,2028
NI,MinesbyPlant,Jinchuan,7,2022,2028
NI,MinesbyPlant,Jinchuan WP,7,2022,2028
NI,MinesbyPlant,Kalatongke,7,2022,2028
NI,MinesbyPlant,Kambalda Nickel Ops (KNO),3,2022,2024
NI,MinesbyPlant,Kavadarci,1,2022,2022
NI,MinesbyPlant,Kevitsa,7,2022,2028
NI,MinesbyPlant,Kolosori,2,2023,2024
NI,MinesbyPlant,Koniambo,3,2022,2024
NI,MinesbyPlant,Lapaopao - Garnierite,4,2025,2028
NI,MinesbyPlant,Larymna,1,2022,2022
NI,MinesbyPlant,Laterite,7,2022,2028
NI,MinesbyPlant,Leinster,3,2022,2024
NI,MinesbyPlant,Lengshuiqing,7,2022,2028
NI,MinesbyPlant,Lonmin Mines,7,2022,2028
NI,MinesbyPlant,Maxut,2,2022,2023
NI,MinesbyPlant,Moa Nickel,7,2022,2028
NI,MinesbyPlant,Mount Keith,3,2022,2024
NI,MinesbyPlant,Munali - Enterprise Nickel,4,2022,2025
NI,MinesbyPlant,Murrin Murrin,7,2022,2028
NI,MinesbyPlant,Nickel Rim,2,2022,2023
NI,MinesbyPlant,Norilsk,7,2022,2028
NI,MinesbyPlant,Northam,7,2022,2028
NI,MinesbyPlant,Nova Bollinger,5,2022,2026
NI,MinesbyPlant,Nunavik,7,2022,2028
NI,MinesbyPlant,Onaping Depth,4,2025,2028
NI,MinesbyPlant,Onca Puma,7,2022,2028
NI,MinesbyPlant,Pechenga,7,2022,2028
NI,MinesbyPlant,Philippines Ore,7,2022,2028
NI,MinesbyPlant,Piaui,3,2022,2024
NI,MinesbyPlant,Platreef - Other,4,2025,2028
NI,MinesbyPlant,Pomalaa Timur,3,2026,2028
NI,MinesbyPlant,Punta Gorda,7,2022,2028
NI,MinesbyPlant,Raglan,7,2022,2028
NI,MinesbyPlant,Ramu,7,2022,2028
NI,MinesbyPlant,Ravensthorpe (FQM),2,2022,2023
NI,MinesbyPlant,Ruilun,7,2022,2028
NI,MinesbyPlant,SLN - Doniambo - Garnierite,7,2022,2028
NI,MinesbyPlant,Santa Rita,1,2028,2028
NI,MinesbyPlant,Santa Rita - Other,7,2022,2028
NI,MinesbyPlant,Savannah,2,2022,2023
NI,MinesbyPlant,Shanuch,2,2022,2023
NI,MinesbyPlant,Sipilou Nord,7,2022,2028
NI,MinesbyPlant,Soroako,7,2022,2028
NI,MinesbyPlant,Sorowako Limonite,2,2027,2028
NI,MinesbyPlant,Sulphide,7,2022,2028
NI,MinesbyPlant,TOTAL AFRICA,7,2022,2028
NI,MinesbyPlant,TOTAL ASIA,7,2022,2028
NI,MinesbyPlant,TOTAL EUROPE,7,2022,2028
NI,MinesbyPlant,TOTAL LATIN AMERICA AND THE CARIBBEAN,7,2022,2028
NI,MinesbyPlant,TOTAL NORTH AMERICA,7,2022,2028
NI,MinesbyPlant,TOTAL OCEANIA,7,2022,2028
NI,MinesbyPlant,TOTAL RUSSIA AND THE CASPIAN,7,2022,2028
NI,MinesbyPlant,TOTAL WORLD,7,2022,2028
NI,MinesbyPlant,Taganito,7,2022,2028
NI,MinesbyPlant,Tagaung Taung,4,2022,2025
NI,MinesbyPlant,Terrafame - Other,7,2022,2028
NI,MinesbyPlant,Titania,7,2022,2028
NI,MinesbyPlant,Total Australia,7,2022,2028
NI,MinesbyPlant,Total Brazil,7,2022,2028
NI,MinesbyPlant,Total Canada,7,2022,2028
NI,MinesbyPlant,Total China,7,2022,2028
NI,MinesbyPlant,Total Colombia,7,2022,2028
NI,MinesbyPlant,Total Cote d`Ivoire,7,2022,2028
NI,MinesbyPlant,Total Cuba,7,2022,2028
NI,MinesbyPlant,Total Dominican Republic,7,2022,2028
NI,MinesbyPlant,Total Finland,7,2022,2028
NI,MinesbyPlant,Total Greece,7,2022,2028
NI,MinesbyPlant,Total Guatemala,7,2022,2028
NI,MinesbyPlant,Total Indonesia,7,2022,2028
NI,MinesbyPlant,Total Kazakhstan,7,2022,2028
NI,MinesbyPlant,Total Madagascar,7,2022,2028
NI,MinesbyPlant,Total Myanmar,7,2022,2028
NI,MinesbyPlant,Total New Caledonia,7,2022,2028
NI,MinesbyPlant,Total North Macedonia,7,2022,2028
NI,MinesbyPlant,Total Norway,7,2022,2028
NI,MinesbyPlant,Total Papua New Guinea,7,2022,2028
NI,MinesbyPlant,Total Philippines,7,2022,2028
NI,MinesbyPlant,Total Russian Federation,7,2022,2028
NI,MinesbyPlant,Total Solomon Islands,7,2022,2028
NI,MinesbyPlant,Total South Africa,7,2022,2028
NI,MinesbyPlant,Total Turkey,7,2022,2028
NI,MinesbyPlant,Total United States,7,2022,2028
NI,MinesbyPlant,Total Vietnam,7,2022,2028
NI,MinesbyPlant,Total Zambia,7,2022,2028
NI,MinesbyPlant,Total Zimbabwe,7,2022,2028
NI,MinesbyPlant,Totten,7,2022,2028
NI,MinesbyPlant,Trojan,2,2022,2023
NI,MinesbyPlant,Tulaergan,7,2022,2028
NI,MinesbyPlant,Turkey Other,1,2022,2022
NI,MinesbyPlant,Vale Manitoba,7,2022,2028
NI,MinesbyPlant,Vale Sudbury,7,2022,2028
NI,MinesbyPlant,Voisey's Bay,2,2022,2023
NI,MinesbyPlant,Voisey's Bay - Other,2,2022,2023
NI,MinesbyPlant,Voiseys Bay UG,7,2022,2028
NI,MinesbyPlant,Weda Bay,7,2022,2028
NI,MinesbyPlant,Wulantaolegai,3,2026,2028
NI,MinesbyPlant,Xiarihamu,7,2022,2028
NI,MinesbyPlant,Yakesi,7,2022,2028
NI,MinesbyPlant,Zimplats - Other,7,2022,2028
NI,NPIbyPlant,Ansheng,6,2023,2028
NI,NPIbyPlant,Beihai Chengde,7,2022,2028
NI,NPIbyPlant,Bintang Timur Steel,4,2022,2025
NI,NPIbyPlant,Bishi (Jingan),5,2022,2026
NI,NPIbyPlant,CMMI Wonua Morone,7,2022,2028
NI,NPIbyPlant,China Other NPI,7,2022,2028
NI,NPIbyPlant,Delong,7,2022,2028
NI,NPIbyPlant,Duta Huadi,5,2022,2026
NI,NPIbyPlant,Fujian Desheng,7,2022,2028
NI,NPIbyPlant,Halmahera Jaya,7,2022,2028
NI,NPIbyPlant,Harita,7,2022,2028
NI,NPIbyPlant,Henan Jinhui,7,2022,2028
NI,NPIbyPlant,Huabao,5,2024,2028
NI,NPIbyPlant,Jinchuan WP,7,2022,2028
NI,NPIbyPlant,Jinyuan Nickel,7,2022,2028
NI,NPIbyPlant,Metalindo,7,2022,2028
NI,NPIbyPlant,PT Bumi,5,2024,2028
NI,NPIbyPlant,PT Gunbuster,7,2022,2028
NI,NPIbyPlant,PT Indoferro,5,2022,2026
NI,NPIbyPlant,PT Kalimantan,6,2023,2028
NI,NPIbyPlant,PT Sebuku,3,2026,2028
NI,NPIbyPlant,Qingdao Zhongcheng,7,2022,2028
NI,NPIbyPlant,Suqian Xiangxiang,7,2022,2028
NI,NPIbyPlant,TOTAL ASIA,7,2022,2028
NI,NPIbyPlant,TOTAL WORLD,7,2022,2028
NI,NPIbyPlant,Total China,7,2022,2028
NI,NPIbyPlant,Total Indonesia,7,2022,2028
NI,NPIbyPlant,Tsingshan Dingxin,7,2022,2028
NI,NPIbyPlant,Tsingshan Guangqing,7,2022,2028
NI,NPIbyPlant,Tsingshan Morowali,7,2022,2028
NI,NPIbyPlant,Virtue Dragon,7,2022,2028
NI,NPIbyPlant,Wanxiang,4,2022,2025
NI,NPIbyPlant,Weda Bay,7,2022,2028
NI,NPIbyPlant,Xinhai,7,2022,2028
NI,NPIbyPlant,Yangjiang Century,7,2022,2028
NI,NiInPrecursors,Belgium,7,2022,2028
NI,NiInPrecursors,Canada,7,2022,2028
NI,NiInPrecursors,China,7,2022,2028
NI,NiInPrecursors,Electric vehicles,1,2022,2022
NI,NiInPrecursors,Energy storage systems,1,2022,2022
NI,NiInPrecursors,Finland,7,2022,2028
NI,NiInPrecursors,Global,7,2022,2028
NI,NiInPrecursors,Indonesia,7,2022,2028
NI,NiInPrecursors,Japan,7,2022,2028
NI,NiInPrecursors,LMRO,1,2022,2022
NI,NiInPrecursors,LNMO,1,2022,2022
NI,NiInPrecursors,Motive products,1,2022,2022
NI,NiInPrecursors,NCA,1,2022,2022
NI,NiInPrecursors,NMC High-Ni,1,2022,2022
NI,NiInPrecursors,NMC111,1,2022,2022
NI,NiInPrecursors,NMC532,1,2022,2022
NI,NiInPrecursors,NMC622,1,2022,2022
NI,NiInPrecursors,NMC721,1,2022,2022
NI,NiInPrecursors,NMC811,1,2022,2022
NI,NiInPrecursors,NMCA,1,2022,2022
NI,NiInPrecursors,NMX,1,2022,2022
NI,NiInPrecursors,NiMH,1,2022,2022
NI,NiInPrecursors,Non-Ni pCAMs,1,2022,2022
NI,NiInPrecursors,Other Africa,7,2022,2028
NI,NiInPrecursors,Other Asia,7,2022,2028
NI,NiInPrecursors,Poland,7,2022,2028
NI,NiInPrecursors,Portable electronics,1,2022,2022
NI,NiInPrecursors,Power devices,1,2022,2022
NI,NiInPrecursors,SSB-NMC811,1,2022,2022
NI,NiInPrecursors,South Korea,7,2022,2028
NI,NiInPrecursors,Sweden,7,2022,2028
NI,NiInPrecursors,Total Africa,7,2022,2028
NI,NiInPrecursors,Total Asia,7,2022,2028
NI,NiInPrecursors,Total Europe,7,2022,2028
NI,NiInPrecursors,Total Ni pCAMs,1,2022,2022
NI,NiInPrecursors,Total North America,7,2022,2028
NI,NiInPrecursors,USA,7,2022,2028
NI,PriceChart,Pricechart,66,1975,2040
NI,QuarterlyNiProductionByAsset,Ambatovy,4,2025,2028
NI,QuarterlyNiProductionByAsset,Ansheng,4,2025,2028
NI,QuarterlyNiProductionByAsset,Barro Alto,4,2025,2028
NI,QuarterlyNiProductionByAsset,Beihai Chengde,4,2025,2028
NI,QuarterlyNiProductionByAsset,Bintang Timur Steel,4,2025,2028
NI,QuarterlyNiProductionByAsset,Bishi (Jingan),4,2025,2028
NI,QuarterlyNiProductionByAsset,Brixlegg,4,2025,2028
NI,QuarterlyNiProductionByAsset,Brunp,4,2025,2028
NI,QuarterlyNiProductionByAsset,CMMI Wonua Morone,4,2025,2028
NI,QuarterlyNiProductionByAsset,CNGR (Zhongwei),4,2025,2028
NI,QuarterlyNiProductionByAsset,CNGR Chemicals,4,2025,2028
NI,QuarterlyNiProductionByAsset,Caofeidian,4,2025,2028
NI,QuarterlyNiProductionByAsset,Caofeidian Expansion,4,2025,2028
NI,QuarterlyNiProductionByAsset,Ceria Indotama,4,2025,2028
NI,QuarterlyNiProductionByAsset,Cerro Matoso,4,2025,2028
NI,QuarterlyNiProductionByAsset,Chengtun,4,2025,2028
NI,QuarterlyNiProductionByAsset,China Other,4,2025,2028
NI,QuarterlyNiProductionByAsset,China Other NPI,4,2025,2028
NI,QuarterlyNiProductionByAsset,China Secondary,4,2025,2028
NI,QuarterlyNiProductionByAsset,Chongqing Chemicals,4,2025,2028
NI,QuarterlyNiProductionByAsset,Clydach,4,2025,2028
NI,QuarterlyNiProductionByAsset,Codemin,4,2025,2028
NI,QuarterlyNiProductionByAsset,Copper Cliff,4,2025,2028
NI,QuarterlyNiProductionByAsset,Delong,4,2025,2028
NI,QuarterlyNiProductionByAsset,Doniambo,4,2025,2028
NI,QuarterlyNiProductionByAsset,Duta Huadi,4,2025,2028
NI,QuarterlyNiProductionByAsset,Enerchem,4,2025,2028
NI,QuarterlyNiProductionByAsset,Excelsior,4,2025,2028
NI,QuarterlyNiProductionByAsset,Excelsior Chemical,4,2025,2028
